ID,Origen,Traducción,Global,Exactitud,Fluidez,Terminología,Formato,Confianza declarada,Divergencia,Problemas,Propuesta del juez,Justificación,Prompt del juez,Respuesta cruda
tm.identica_1,"Ashtanga is a very dynamic and athletic form of hatha yoga, made up of six series or levels, with a fixed order of postures.","El Ashtanga es una forma muy dinámica y atlética de hatha yoga, compuesta por seis series o niveles, con un orden fijo de posturas.",5.00,5,5,5,5,high,+0.00,Ninguno,"Ashtanga es una forma muy dinámica y atlética de hatha yoga, compuesta por seis series o niveles, con un orden fijo de posturas.","La traducción es excelente y precisa. La única observación menor es que en español, al hablar de disciplinas o corrientes filosóficas/deportivas, se suele omitir el artículo definido inicial ('El Ashtanga') para que suene más natural y técnico, aunque el uso del artículo no se considera un error de exactitud. Se ha respetado estrictamente la terminología obligatoria.","Eres un revisor de traducciones profesional, independiente
del traductor. Evalúa la traducción siguiente del Inglés (Estados Unidos) al Español (España)
en el dominio de técnico.

TERMINOLOGÍA QUE DEBÍA RESPETARSE:
- hatha yoga → hatha yoga
PROHIBIDO usar: yoga hatha

TEXTO ORIGEN:
""Ashtanga is a very dynamic and athletic form of hatha yoga, made up of six series or levels, with a fixed order of postures.""

TRADUCCIÓN A EVALUAR:
""El Ashtanga es una forma muy dinámica y atlética de hatha yoga, compuesta por seis series o niveles, con un orden fijo de posturas.""

Puntúa de 1 a 5 cada criterio (1 = inaceptable, 5 = publicable sin cambios):
- exactitud: ¿transmite el mismo significado, sin omisiones ni añadidos?
- fluidez: ¿suena natural para un hablante nativo?
- terminologia: ¿usa exactamente los términos del glosario cuando el texto origen  los contiene, y evita los prohibidos? Si detectas un término de dominio mal traducido (aunque no esté en el glosario), penaliza este criterio, no otro,  y citá el término exacto en ""problemas"".
- formato: ¿conserva variables, cifras, puntuación y mayúsculas?

Responde ÚNICAMENTE con este JSON, sin texto adicional ni ```:
{""exactitud"": 0, ""fluidez"": 0, ""terminologia"": 0, ""formato"": 0,
 ""global"": 0, ""problemas"": [""...""], ""propuesta"": ""..."", ""justificacion"": ""...""}","{
""exactitud"": 5,
""fluidez"": 5,
""terminologia"": 5,
""formato"": 5,
""global"": 5,
""problemas"": [],
""propuesta"": ""Ashtanga es una forma muy dinámica y atlética de hatha yoga, compuesta por seis series o niveles, con un orden fijo de posturas."",
""justificacion"": ""La traducción es excelente y precisa. La única observación menor es que en español, al hablar de disciplinas o corrientes filosóficas/deportivas, se suele omitir el artículo definido inicial ('El Ashtanga') para que suene más natural y técnico, aunque el uso del artículo no se considera un error de exactitud. Se ha respetado estrictamente la terminología obligatoria.""
}"
tm.identica_2,"Usually, students begin an Ashtanga practice with five repetitions of Sun Salutation A and Sun Salutation B.","Por lo general, los alumnos comienzan una práctica de Ashtanga con cinco repeticiones del Saludo al Sol A y del Saludo al Sol B.",5.00,5,5,5,5,high,+0.00,Ninguno,"Por lo general, los alumnos comienzan una práctica de Ashtanga con cinco repeticiones del Saludo al Sol A y del Saludo al Sol B.","La traducción es impecable. Respeta estrictamente la terminología obligatoria, mantiene la exactitud semántica del original y presenta una fluidez natural en español de España. El formato y las cifras se han conservado correctamente.","Eres un revisor de traducciones profesional, independiente
del traductor. Evalúa la traducción siguiente del Inglés (Estados Unidos) al Español (España)
en el dominio de técnico.

TERMINOLOGÍA QUE DEBÍA RESPETARSE:
- Sun Salutation → Saludo al Sol
PROHIBIDO usar: Salutación Solar

TEXTO ORIGEN:
""Usually, students begin an Ashtanga practice with five repetitions of Sun Salutation A and Sun Salutation B.""

TRADUCCIÓN A EVALUAR:
""Por lo general, los alumnos comienzan una práctica de Ashtanga con cinco repeticiones del Saludo al Sol A y del Saludo al Sol B.""

Puntúa de 1 a 5 cada criterio (1 = inaceptable, 5 = publicable sin cambios):
- exactitud: ¿transmite el mismo significado, sin omisiones ni añadidos?
- fluidez: ¿suena natural para un hablante nativo?
- terminologia: ¿usa exactamente los términos del glosario cuando el texto origen  los contiene, y evita los prohibidos? Si detectas un término de dominio mal traducido (aunque no esté en el glosario), penaliza este criterio, no otro,  y citá el término exacto en ""problemas"".
- formato: ¿conserva variables, cifras, puntuación y mayúsculas?

Responde ÚNICAMENTE con este JSON, sin texto adicional ni ```:
{""exactitud"": 0, ""fluidez"": 0, ""terminologia"": 0, ""formato"": 0,
 ""global"": 0, ""problemas"": [""...""], ""propuesta"": ""..."", ""justificacion"": ""...""}","{
""exactitud"": 5,
""fluidez"": 5,
""terminologia"": 5,
""formato"": 5,
""global"": 5,
""problemas"": [],
""propuesta"": ""Por lo general, los alumnos comienzan una práctica de Ashtanga con cinco repeticiones del Saludo al Sol A y del Saludo al Sol B."",
""justificacion"": ""La traducción es impecable. Respeta estrictamente la terminología obligatoria, mantiene la exactitud semántica del original y presenta una fluidez natural en español de España. El formato y las cifras se han conservado correctamente.""
}"
tm.identica_3,"It is rooted in vinyasa, the flowing movements between postures, with a focus on energy and breath.","Tiene sus raíces en el vinyasa, los movimientos fluidos entre posturas, con un enfoque en la energía y la respiración.",5.00,5,5,5,5,high,+0.00,Ninguno,"Tiene sus raíces en el vinyasa, los movimientos fluidos entre posturas, con un enfoque en la energía y la respiración.","La traducción es excelente. Respeta la terminología obligatoria, mantiene la precisión semántica del texto técnico de yoga y fluye de manera natural en español de España. No presenta errores de formato ni omisiones.","Eres un revisor de traducciones profesional, independiente
del traductor. Evalúa la traducción siguiente del Inglés (Estados Unidos) al Español (España)
en el dominio de técnico.

TERMINOLOGÍA QUE DEBÍA RESPETARSE:
- vinyasa → vinyasa

TEXTO ORIGEN:
""It is rooted in vinyasa, the flowing movements between postures, with a focus on energy and breath.""

TRADUCCIÓN A EVALUAR:
""Tiene sus raíces en el vinyasa, los movimientos fluidos entre posturas, con un enfoque en la energía y la respiración.""

Puntúa de 1 a 5 cada criterio (1 = inaceptable, 5 = publicable sin cambios):
- exactitud: ¿transmite el mismo significado, sin omisiones ni añadidos?
- fluidez: ¿suena natural para un hablante nativo?
- terminologia: ¿usa exactamente los términos del glosario cuando el texto origen  los contiene, y evita los prohibidos? Si detectas un término de dominio mal traducido (aunque no esté en el glosario), penaliza este criterio, no otro,  y citá el término exacto en ""problemas"".
- formato: ¿conserva variables, cifras, puntuación y mayúsculas?

Responde ÚNICAMENTE con este JSON, sin texto adicional ni ```:
{""exactitud"": 0, ""fluidez"": 0, ""terminologia"": 0, ""formato"": 0,
 ""global"": 0, ""problemas"": [""...""], ""propuesta"": ""..."", ""justificacion"": ""...""}","{
""exactitud"": 5,
""fluidez"": 5,
""terminologia"": 5,
""formato"": 5,
""global"": 5,
""problemas"": [],
""propuesta"": ""Tiene sus raíces en el vinyasa, los movimientos fluidos entre posturas, con un enfoque en la energía y la respiración."",
""justificacion"": ""La traducción es excelente. Respeta la terminología obligatoria, mantiene la precisión semántica del texto técnico de yoga y fluye de manera natural en español de España. No presenta errores de formato ni omisiones.""
}"
tm.antonimo,"Ashtanga is a very slow and gentle form of restorative yoga, with no fixed order of postures.","El Ashtanga es una forma muy lenta y suave de yoga restaurativo, sin orden fijo de posturas.",5.00,5,5,5,5,high,+0.00,Ninguno,"Ashtanga es una forma de yoga restaurativo muy lenta y suave, sin un orden fijo de posturas.","La traducción es correcta y precisa. La única observación es que el uso del artículo 'El' antes de 'Ashtanga' es opcional pero aceptable en español; sin embargo, en textos técnicos o descriptivos de disciplinas, suele omitirse para mayor elegancia. La propuesta mejora ligeramente el orden sintáctico para una mayor naturalidad en español de España.","Eres un revisor de traducciones profesional, independiente
del traductor. Evalúa la traducción siguiente del Inglés (Estados Unidos) al Español (España)
en el dominio de técnico.

TERMINOLOGÍA QUE DEBÍA RESPETARSE:
(ninguna restricción terminológica para esta unidad)

TEXTO ORIGEN:
""Ashtanga is a very slow and gentle form of restorative yoga, with no fixed order of postures.""

TRADUCCIÓN A EVALUAR:
""El Ashtanga es una forma muy lenta y suave de yoga restaurativo, sin orden fijo de posturas.""

Puntúa de 1 a 5 cada criterio (1 = inaceptable, 5 = publicable sin cambios):
- exactitud: ¿transmite el mismo significado, sin omisiones ni añadidos?
- fluidez: ¿suena natural para un hablante nativo?
- terminologia: ¿usa exactamente los términos del glosario cuando el texto origen  los contiene, y evita los prohibidos? Si detectas un término de dominio mal traducido (aunque no esté en el glosario), penaliza este criterio, no otro,  y citá el término exacto en ""problemas"".
- formato: ¿conserva variables, cifras, puntuación y mayúsculas?

Responde ÚNICAMENTE con este JSON, sin texto adicional ni ```:
{""exactitud"": 0, ""fluidez"": 0, ""terminologia"": 0, ""formato"": 0,
 ""global"": 0, ""problemas"": [""...""], ""propuesta"": ""..."", ""justificacion"": ""...""}","{
""exactitud"": 5,
""fluidez"": 5,
""terminologia"": 5,
""formato"": 5,
""global"": 5,
""problemas"": [],
""propuesta"": ""Ashtanga es una forma de yoga restaurativo muy lenta y suave, sin un orden fijo de posturas."",
""justificacion"": ""La traducción es correcta y precisa. La única observación es que el uso del artículo 'El' antes de 'Ashtanga' es opcional pero aceptable en español; sin embargo, en textos técnicos o descriptivos de disciplinas, suele omitirse para mayor elegancia. La propuesta mejora ligeramente el orden sintáctico para una mayor naturalidad en español de España.""
}"
tm.casi_1,"Ashtanga is a very dynamic and athletic style of hatha yoga, made up of six series, with a fixed order of postures.","El Ashtanga es una forma muy dinámica y atlética de hatha yoga, compuesta por seis series o niveles, con un orden fijo de posturas.",5.00,5,5,5,5,high,+0.00,Ninguno,"Ashtanga es un estilo de hatha yoga muy dinámico y atlético, compuesto por seis series con un orden fijo de posturas.","La traducción es excelente y cumple con todas las restricciones. La única observación es que el uso del artículo 'El' antes de 'Ashtanga' es aceptable pero opcional; sin embargo, la traducción es precisa, natural y respeta estrictamente la terminología obligatoria.","Eres un revisor de traducciones profesional, independiente
del traductor. Evalúa la traducción siguiente del Inglés (Estados Unidos) al Español (España)
en el dominio de técnico.

TERMINOLOGÍA QUE DEBÍA RESPETARSE:
- hatha yoga → hatha yoga
PROHIBIDO usar: yoga hatha

TEXTO ORIGEN:
""Ashtanga is a very dynamic and athletic style of hatha yoga, made up of six series, with a fixed order of postures.""

TRADUCCIÓN A EVALUAR:
""El Ashtanga es una forma muy dinámica y atlética de hatha yoga, compuesta por seis series o niveles, con un orden fijo de posturas.""

Puntúa de 1 a 5 cada criterio (1 = inaceptable, 5 = publicable sin cambios):
- exactitud: ¿transmite el mismo significado, sin omisiones ni añadidos?
- fluidez: ¿suena natural para un hablante nativo?
- terminologia: ¿usa exactamente los términos del glosario cuando el texto origen  los contiene, y evita los prohibidos? Si detectas un término de dominio mal traducido (aunque no esté en el glosario), penaliza este criterio, no otro,  y citá el término exacto en ""problemas"".
- formato: ¿conserva variables, cifras, puntuación y mayúsculas?

Responde ÚNICAMENTE con este JSON, sin texto adicional ni ```:
{""exactitud"": 0, ""fluidez"": 0, ""terminologia"": 0, ""formato"": 0,
 ""global"": 0, ""problemas"": [""...""], ""propuesta"": ""..."", ""justificacion"": ""...""}","{
""exactitud"": 5,
""fluidez"": 5,
""terminologia"": 5,
""formato"": 5,
""global"": 5,
""problemas"": [],
""propuesta"": ""Ashtanga es un estilo de hatha yoga muy dinámico y atlético, compuesto por seis series con un orden fijo de posturas."",
""justificacion"": ""La traducción es excelente y cumple con todas las restricciones. La única observación es que el uso del artículo 'El' antes de 'Ashtanga' es aceptable pero opcional; sin embargo, la traducción es precisa, natural y respeta estrictamente la terminología obligatoria.""
}"
tm.casi_2,Students usually begin their Ashtanga practice with five repetitions of Sun Salutation A and B.,"Por lo general, los alumnos comienzan una práctica de Ashtanga con cinco repeticiones del Saludo al Sol A y del Saludo al Sol B.",5.00,5,4,5,5,high,+0.00,Ninguno,"Por lo general, los alumnos comienzan su práctica de Ashtanga con cinco repeticiones del Saludo al Sol A y B.","La traducción es correcta y respeta la terminología obligatoria. Sin embargo, la fluidez se puede mejorar ligeramente: el uso de 'una práctica' suena algo forzado en comparación con el posesivo 'su práctica' (traducción de 'their practice'), y la repetición de 'del Saludo al Sol' en la misma frase resulta redundante en español, siendo más natural agrupar ambos elementos.","Eres un revisor de traducciones profesional, independiente
del traductor. Evalúa la traducción siguiente del Inglés (Estados Unidos) al Español (España)
en el dominio de técnico.

TERMINOLOGÍA QUE DEBÍA RESPETARSE:
- Sun Salutation → Saludo al Sol
PROHIBIDO usar: Salutación Solar

TEXTO ORIGEN:
""Students usually begin their Ashtanga practice with five repetitions of Sun Salutation A and B.""

TRADUCCIÓN A EVALUAR:
""Por lo general, los alumnos comienzan una práctica de Ashtanga con cinco repeticiones del Saludo al Sol A y del Saludo al Sol B.""

Puntúa de 1 a 5 cada criterio (1 = inaceptable, 5 = publicable sin cambios):
- exactitud: ¿transmite el mismo significado, sin omisiones ni añadidos?
- fluidez: ¿suena natural para un hablante nativo?
- terminologia: ¿usa exactamente los términos del glosario cuando el texto origen  los contiene, y evita los prohibidos? Si detectas un término de dominio mal traducido (aunque no esté en el glosario), penaliza este criterio, no otro,  y citá el término exacto en ""problemas"".
- formato: ¿conserva variables, cifras, puntuación y mayúsculas?

Responde ÚNICAMENTE con este JSON, sin texto adicional ni ```:
{""exactitud"": 0, ""fluidez"": 0, ""terminologia"": 0, ""formato"": 0,
 ""global"": 0, ""problemas"": [""...""], ""propuesta"": ""..."", ""justificacion"": ""...""}","{
""exactitud"": 5,
""fluidez"": 4,
""terminologia"": 5,
""formato"": 5,
""global"": 5,
""problemas"": [],
""propuesta"": ""Por lo general, los alumnos comienzan su práctica de Ashtanga con cinco repeticiones del Saludo al Sol A y B."",
""justificacion"": ""La traducción es correcta y respeta la terminología obligatoria. Sin embargo, la fluidez se puede mejorar ligeramente: el uso de 'una práctica' suena algo forzado en comparación con el posesivo 'su práctica' (traducción de 'their practice'), y la repetición de 'del Saludo al Sol' en la misma frase resulta redundante en español, siendo más natural agrupar ambos elementos.""
}"
tm.parafrasis_1,New practitioners typically start their Ashtanga sessions by performing Sun Salutation A and B five times each.,Los nuevos practicantes suelen comenzar sus sesiones de Ashtanga realizando el Saludo al Sol A y B cinco veces cada uno.,4.00,5,5,4,5,high,+1.00,"El uso de 'el Saludo al Sol A y B' es gramaticalmente forzado en español; al referirse a dos tipos distintos, debería usarse el plural 'los Saludos al Sol A y B'",Los nuevos practicantes suelen comenzar sus sesiones de Ashtanga realizando los Saludos al Sol A y B cinco veces cada uno.,"La traducción es exacta y respeta la terminología obligatoria. Sin embargo, la concordancia gramatical falla ligeramente al tratar 'Saludo al Sol A y B' como un elemento singular cuando el texto se refiere a dos variantes distintas. Se recomienda el plural para mejorar la fluidez y precisión gramatical.","Eres un revisor de traducciones profesional, independiente
del traductor. Evalúa la traducción siguiente del Inglés (Estados Unidos) al Español (España)
en el dominio de técnico.

TERMINOLOGÍA QUE DEBÍA RESPETARSE:
- Sun Salutation → Saludo al Sol
PROHIBIDO usar: Salutación Solar

TEXTO ORIGEN:
""New practitioners typically start their Ashtanga sessions by performing Sun Salutation A and B five times each.""

TRADUCCIÓN A EVALUAR:
""Los nuevos practicantes suelen comenzar sus sesiones de Ashtanga realizando el Saludo al Sol A y B cinco veces cada uno.""

Puntúa de 1 a 5 cada criterio (1 = inaceptable, 5 = publicable sin cambios):
- exactitud: ¿transmite el mismo significado, sin omisiones ni añadidos?
- fluidez: ¿suena natural para un hablante nativo?
- terminologia: ¿usa exactamente los términos del glosario cuando el texto origen  los contiene, y evita los prohibidos? Si detectas un término de dominio mal traducido (aunque no esté en el glosario), penaliza este criterio, no otro,  y citá el término exacto en ""problemas"".
- formato: ¿conserva variables, cifras, puntuación y mayúsculas?

Responde ÚNICAMENTE con este JSON, sin texto adicional ni ```:
{""exactitud"": 0, ""fluidez"": 0, ""terminologia"": 0, ""formato"": 0,
 ""global"": 0, ""problemas"": [""...""], ""propuesta"": ""..."", ""justificacion"": ""...""}","{
""exactitud"": 5,
""fluidez"": 5,
""terminologia"": 4,
""formato"": 5,
""global"": 4,
""problemas"": [""El uso de 'el Saludo al Sol A y B' es gramaticalmente forzado en español; al referirse a dos tipos distintos, debería usarse el plural 'los Saludos al Sol A y B'""],
""propuesta"": ""Los nuevos practicantes suelen comenzar sus sesiones de Ashtanga realizando los Saludos al Sol A y B cinco veces cada uno."",
""justificacion"": ""La traducción es exacta y respeta la terminología obligatoria. Sin embargo, la concordancia gramatical falla ligeramente al tratar 'Saludo al Sol A y B' como un elemento singular cuando el texto se refiere a dos variantes distintas. Se recomienda el plural para mejorar la fluidez y precisión gramatical.""
}"
tm.parafrasis_2,Would you like to learn more about the eight limbs of yoga?,¿Le gustaría aprender más sobre los ocho miembros del yoga?,3.00,3,4,2,5,high,+2.00,eight limbs,¿Le gustaría aprender más sobre los ocho miembros del yoga?,"Aunque la traducción es gramaticalmente correcta, comete un error de terminología técnica en el dominio del yoga. En español, el concepto de 'eight limbs of yoga' se traduce tradicionalmente como 'los ocho miembros del yoga' (en sentido de extremidades/partes) o, más correctamente en el contexto filosófico, como 'los ocho pasos del yoga' o 'los ocho miembros del yoga' (si se acepta la metáfora), pero el término 'miembros' suele confundirse con extremidades físicas. No obstante, el error principal es que en la literatura especializada sobre el Yoga Sutra de Patanjali, se utiliza 'miembros' o 'pasos'. El problema es que 'miembros' en español suena a partes del cuerpo (brazos/piernas) en este contexto, restando precisión técnica. Una traducción más profesional y natural para este dominio sería 'los ocho pasos del yoga'.","Eres un revisor de traducciones profesional, independiente
del traductor. Evalúa la traducción siguiente del Inglés (Estados Unidos) al Español (España)
en el dominio de técnico.

TERMINOLOGÍA QUE DEBÍA RESPETARSE:
(ninguna restricción terminológica para esta unidad)

TEXTO ORIGEN:
""Would you like to learn more about the eight limbs of yoga?""

TRADUCCIÓN A EVALUAR:
""¿Le gustaría aprender más sobre los ocho miembros del yoga?""

Puntúa de 1 a 5 cada criterio (1 = inaceptable, 5 = publicable sin cambios):
- exactitud: ¿transmite el mismo significado, sin omisiones ni añadidos?
- fluidez: ¿suena natural para un hablante nativo?
- terminologia: ¿usa exactamente los términos del glosario cuando el texto origen  los contiene, y evita los prohibidos? Si detectas un término de dominio mal traducido (aunque no esté en el glosario), penaliza este criterio, no otro,  y citá el término exacto en ""problemas"".
- formato: ¿conserva variables, cifras, puntuación y mayúsculas?

Responde ÚNICAMENTE con este JSON, sin texto adicional ni ```:
{""exactitud"": 0, ""fluidez"": 0, ""terminologia"": 0, ""formato"": 0,
 ""global"": 0, ""problemas"": [""...""], ""propuesta"": ""..."", ""justificacion"": ""...""}","{
""exactitud"": 3,
""fluidez"": 4,
""terminologia"": 2,
""formato"": 5,
""global"": 3,
""problemas"": [""eight limbs""],
""propuesta"": ""¿Le gustaría aprender más sobre los ocho miembros del yoga?"",
""justificacion"": ""Aunque la traducción es gramaticalmente correcta, comete un error de terminología técnica en el dominio del yoga. En español, el concepto de 'eight limbs of yoga' se traduce tradicionalmente como 'los ocho miembros del yoga' (en sentido de extremidades/partes) o, más correctamente en el contexto filosófico, como 'los ocho pasos del yoga' o 'los ocho miembros del yoga' (si se acepta la metáfora), pero el término 'miembros' suele confundirse con extremidades físicas. No obstante, el error principal es que en la literatura especializada sobre el Yoga Sutra de Patanjali, se utiliza 'miembros' o 'pasos'. El problema es que 'miembros' en español suena a partes del cuerpo (brazos/piernas) en este contexto, restando precisión técnica. Una traducción más profesional y natural para este dominio sería 'los ocho pasos del yoga'.""
}"
glos.aprobado_1,Practice each posture (asana) with close attention to breath control (pranayama).,Practique cada postura (asana) con atención cercana al control de la respiración (pranayama).,4.00,5,3,5,5,high,+1.00,atención cercana,Practique cada postura (asana) prestando mucha atención al control de la respiración (pranayama).,"La terminología obligatoria se ha respetado correctamente. Sin embargo, la expresión 'atención cercana' es un calco semántico del inglés 'close attention' que no resulta natural en español. En este contexto técnico/instructivo, se debe utilizar 'prestando mucha atención' o 'con especial atención' para lograr la fluidez necesaria.","Eres un revisor de traducciones profesional, independiente
del traductor. Evalúa la traducción siguiente del Inglés (Estados Unidos) al Español (España)
en el dominio de técnico.

TERMINOLOGÍA QUE DEBÍA RESPETARSE:
- posture → postura
- breath control → control de la respiración

TEXTO ORIGEN:
""Practice each posture (asana) with close attention to breath control (pranayama).""

TRADUCCIÓN A EVALUAR:
""Practique cada postura (asana) con atención cercana al control de la respiración (pranayama).""

Puntúa de 1 a 5 cada criterio (1 = inaceptable, 5 = publicable sin cambios):
- exactitud: ¿transmite el mismo significado, sin omisiones ni añadidos?
- fluidez: ¿suena natural para un hablante nativo?
- terminologia: ¿usa exactamente los términos del glosario cuando el texto origen  los contiene, y evita los prohibidos? Si detectas un término de dominio mal traducido (aunque no esté en el glosario), penaliza este criterio, no otro,  y citá el término exacto en ""problemas"".
- formato: ¿conserva variables, cifras, puntuación y mayúsculas?

Responde ÚNICAMENTE con este JSON, sin texto adicional ni ```:
{""exactitud"": 0, ""fluidez"": 0, ""terminologia"": 0, ""formato"": 0,
 ""global"": 0, ""problemas"": [""...""], ""propuesta"": ""..."", ""justificacion"": ""...""}","{
""exactitud"": 5,
""fluidez"": 3,
""terminologia"": 5,
""formato"": 5,
""global"": 4,
""problemas"": [""atención cercana""],
""propuesta"": ""Practique cada postura (asana) prestando mucha atención al control de la respiración (pranayama)."",
""justificacion"": ""La terminología obligatoria se ha respetado correctamente. Sin embargo, la expresión 'atención cercana' es un calco semántico del inglés 'close attention' que no resulta natural en español. En este contexto técnico/instructivo, se debe utilizar 'prestando mucha atención' o 'con especial atención' para lograr la fluidez necesaria.""
}"
glos.aprobado_2,Meditation (dhyana) gradually leads toward oneness with the self (samadhi).,La meditación (dhyana) conduce gradualmente hacia la unidad con el ser (samadhi).,5.00,5,5,5,5,high,+0.00,Ninguno,La meditación (dhyana) conduce gradualmente hacia la unidad con el ser (samadhi).,"La traducción es impecable. Respeta estrictamente la terminología obligatoria, mantiene la exactitud semántica del texto técnico/espiritual, posee una fluidez natural en español de España y conserva el formato original.","Eres un revisor de traducciones profesional, independiente
del traductor. Evalúa la traducción siguiente del Inglés (Estados Unidos) al Español (España)
en el dominio de técnico.

TERMINOLOGÍA QUE DEBÍA RESPETARSE:
- oneness with the self → unidad con el ser
PROHIBIDO usar: unicidad con uno mismo

TEXTO ORIGEN:
""Meditation (dhyana) gradually leads toward oneness with the self (samadhi).""

TRADUCCIÓN A EVALUAR:
""La meditación (dhyana) conduce gradualmente hacia la unidad con el ser (samadhi).""

Puntúa de 1 a 5 cada criterio (1 = inaceptable, 5 = publicable sin cambios):
- exactitud: ¿transmite el mismo significado, sin omisiones ni añadidos?
- fluidez: ¿suena natural para un hablante nativo?
- terminologia: ¿usa exactamente los términos del glosario cuando el texto origen  los contiene, y evita los prohibidos? Si detectas un término de dominio mal traducido (aunque no esté en el glosario), penaliza este criterio, no otro,  y citá el término exacto en ""problemas"".
- formato: ¿conserva variables, cifras, puntuación y mayúsculas?

Responde ÚNICAMENTE con este JSON, sin texto adicional ni ```:
{""exactitud"": 0, ""fluidez"": 0, ""terminologia"": 0, ""formato"": 0,
 ""global"": 0, ""problemas"": [""...""], ""propuesta"": ""..."", ""justificacion"": ""...""}","{
""exactitud"": 5,
""fluidez"": 5,
""terminologia"": 5,
""formato"": 5,
""global"": 5,
""problemas"": [],
""propuesta"": ""La meditación (dhyana) conduce gradualmente hacia la unidad con el ser (samadhi)."",
""justificacion"": ""La traducción es impecable. Respeta estrictamente la terminología obligatoria, mantiene la exactitud semántica del texto técnico/espiritual, posee una fluidez natural en español de España y conserva el formato original.""
}"
