texto,true,predicted
"La serie superó todas mis expectativas: guion sólido, actuación impecable y un final que te deja pensando durante días. La recomiendo sin dudarlo.",positivo,Positivo
"Después de una semana agotadora, esta comedia fue justo lo que necesitaba. Me reí de principio a fin y hasta la banda sonora quedó pegada en mi cabeza.",positivo,positivo
"Al principio dudé por las críticas mixtas, pero terminé enganchadísima. Los personajes secundarios tienen más profundidad que muchos protagonistas de otras series.",positivo,negativo
"Aunque el primer capítulo es lento, una vez que arranca la trama no podés parar de ver episodios. Vale totalmente la pena el maratón.",positivo,positivo
Excelente adaptación del libro: respeta el espíritu original y mejora varias subtramas. Uno de los mejores estrenos del año.,positivo,positivo
Empecé con muchas ganas pero a mitad de temporada la historia se vuelve repetitiva y los diálogos parecen escritos sin corregir.,negativo,Negativo
"Un desperdicio de elenco. Actores talentosos atrapados en un guion que no sabe si quiere ser drama o comedia, y termina sin ser ninguna de las dos cosas.",negativo,negativo
"No entiendo tanto hype: ritmo lentísimo, cabos sueltos por todos lados y un final que parece pensado solo para forzar una segunda temporada.",negativo,neutro
"Prometía ser una crítica social interesante pero se queda en la superficie, con personajes que solo repiten consignas sin desarrollo real.",negativo,negativo
"La fotografía es bonita, eso sí, pero no alcanza para tapar una trama que se cae a pedazos en los últimos episodios.",negativo,positivo
"La serie cambia de tono varias veces: algunos capítulos brillan, otros se sienten de relleno. Ni de las mejores ni de las peores que vi este año.",neutro,Neutro
"Cumple lo que promete el tráiler, sin sorpresas ni grandes fallas. Es entretenimiento correcto para pasar el rato.",neutro,neutro
"Cuenta con ocho episodios de aproximadamente cuarenta minutos cada uno, distribuidos en dos arcos narrativos bien diferenciados.",neutro,neutro
"Comparada con la primera temporada, esta segunda entrega mantiene el mismo elenco pero traslada la acción a una nueva ciudad.",neutro,neutro
"Algunos la aman, otros la odian; a mí personalmente me dejó una sensación ambigua, ni para recomendarla con fuerza ni para descartarla del todo.",neutro,negativo
